"Attribute Name","Numeric Values","From Range","Disabled","Increment","To Range","ID (Item Attribute Values)","Abbreviation (Item Attribute Values)","Attribute Value (Item Attribute Values)"
"WM JK Grade 1 Language Selection",0,0.0,0,0.0,0.0,"1lvqmatpt7","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 1 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","1lvnm6cm6m","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 1 Kannada 2nd Lan Hin 3rd Lan"
"WM JK Grade UKG Language Selection",0,0.0,0,0.0,0.0,"0ik1u9vhfr","Hindi","WM JK Grade UKG Hindi 2nd Lan"
"","","","","","","0ikt40acls","Kannada","WM JK Grade UKG Kannada 2nd Lan"
"SAS Keesara Grade 10 Lang Variants",0,0.0,0,0.0,0.0,"oc0e4ai53l","Hindi","SAS Keesara Grade 10 Hindi 2nd Lang"
"","","","","","","oc067jtq3d","Telugu","SAS Keesara Grade 10 Telugu 2nd Lang"
"SAS SUCHITRA GRADE 10 LANG VARIANTS",0,0.0,0,0.0,0.0,"m168k5sfku","Hindi","SAS Suchitra Grade 10 Hindi 2nd Lang"
"","","","","","","m16v3jra66","Telugu","SAS Suchitra Grade 10 Telugu 2nd Lang"
"","","","","","","m16ucpfj0i","French","SAS Suchitra Grade 10 French 2nd Lang"
"SAM House Color",0,0.0,0,0.0,0.0,"ia8mtlosu3","A","Kalpana Chawla - RED"
"","","","","","","ia8mrvniv2","B","Vikram Sarabhai - BLUE"
"","","","","","","ia8fjh9rl0","C","Isaac Newton - GREEN"
"","","","","","","ia819d4mbr","D","Galileo Galilei - YELLOW"
"Winmore Whitefield Grade 8 Language Selection",0,0.0,0,0.0,0.0,"t9itt3ihk9","Hindi","Winmore Whitefield Grade 8 Hindi 2nd Lan"
"","","","","","","t9i13bul61","Kannada","Winmore Whitefield Grade 8 Kannada 2nd Lan"
"Winmore Whitefield Grade 7 Language Selection",0,0.0,0,0.0,0.0,"t0ccv742tl","Hindi","Winmore Whitefield Grade 7 Hindi 2nd Lan"
"","","","","","","t0cdbr2gsa","Kannada","Winmore Whitefield Grade 7 Kannada 2nd Lan"
"Winmore Whitefield Grade 6 Language Selection",0,0.0,0,0.0,0.0,"sfh22n7tbu","Hindi","Winmore Whitefield Grade 6 Hindi 2nd Lan"
"","","","","","","sfhrpues6l","Kannada","Winmore Whitefield Grade 6 Kannada 2nd Lan"
"Winmore Whitefield Grade 5 Language Selection",0,0.0,0,0.0,0.0,"s0v2bt2thb","Hindi","Winmore Whitefield Grade 5 Hindi 2nd Lan"
"","","","","","","s0vdv63789","Kannada","Winmore Whitefield Grade 5 Kannada 2nd Lan"
"Winmore Whitefield Grade 4 Language Selection",0,0.0,0,0.0,0.0,"rlp3kp41dm","Hindi","Winmore Whitefield Grade 4 Hindi 2nd Lan"
"","","","","","","rlp4qspqvp","Kannada","Winmore Whitefield Grade 4 Kannada 2nd Lan"
"Winmore Whitefield Grade 3 Language Selection",0,0.0,0,0.0,0.0,"raj44g9h36","Hindi","Winmore Whitefield Grade 3 Hindi 2nd Lan"
"","","","","","","rajkbaksqt","Kannada","Winmore Whitefield Grade 3 Kannada 2nd Lan"
"Winmore Whitefield Grade 2 Language Selection",0,0.0,0,0.0,0.0,"qjti5p1kvr","Hindi","Winmore Whitefield Grade 2 Hindi 2nd Lan"
"","","","","","","qjtmore7k9","Kannada","Winmore Whitefield Grade 2 Kannada 2nd Lan"
"Winmore Whitefield Grade 1 Language Selection",0,0.0,0,0.0,0.0,"q3oeshbf1b","Hindi","Winmore Whitefield Grade 1 Hindi 2nd Lan"
"","","","","","","q3o6j04446","Kannada","Winmore Whitefield Grade 1 Kannada 2nd Lan"
"Winmore Whitefield Grade UKG Language Selection",0,0.0,0,0.0,0.0,"pjapc1irv3","Hindi","Winmore Whitefield Grade UKG Hindi 2nd Lan"
"","","","","","","pjad49a2tc","Kannada","Winmore Whitefield Grade UKG Kannada 2nd Lan"
"Track Skirt Sizes",0,0.0,0,0.0,0.0,"56l8aban1c","20$$","20"
"","","","","","","56l5v86lmg","22$$","22"
"","","","","","","56ld4qdo68","24$$","24"
"","","","","","","56l1tash4o","26$$","26"
"","","","","","","56l32tdkf3","28$$","28"
"","","","","","","56l9dnpbpd","30$$","30"
"","","","","","","56li6irfg5","32$$","32"
"","","","","","","56la84uvsl","34$$","34"
"","","","","","","fqne95nbad","16$$","16"
"","","","","","","fqngc6bpp7","18$$","18"
"WM WF Half Pants Sizes",0,0.0,0,0.0,0.0,"gnqu1p234l","18(10)","18-10"
"","","","","","","gnq0ndgl6f","20(12)","20-12"
"","","","","","","gnqnjlten2","22(12)","22-12"
"","","","","","","gnq519qhd2","22(14)","22-14"
"","","","","","","gnqc54t58m","24(16)","24-16"
"","","","","","","gnqg1juugg","26(16)","26-16"
"","","","","","","gnqfrlt9g3","28(14)","28-14"
"","","","","","","gnqk9micou","28(16)","28-16"
"","","","","","","gnq90f1l35","28(18)","28-18"
"","","","","","","gnqgp8fr59","30(16)","30-16"
"","","","","","","gnqqosjrgt","30(18)","30-18"
"","","","","","","gnq5m81s30","32(16)","32-16"
"SMS Grade 11 Elective Subject",0,0.0,0,0.0,0.0,"vsu2cf3hb8","Computer Science","Computer Science"
"","","","","","","vsufgipdgc","Biology","Biology"
"","","","","","","vsufeenvgm","Entrepreneurship","Entrepreneurship"
"","","","","","","vsuov81m53","Physical Education","Physical Education"
"","","","","","","vsu4m7jeuu","Psychology","Psychology"
"","","","","","","vsuk2t3oim","Mathematics","Mathematics"
"SMS Grade 11 Core Subject",0,0.0,0,0.0,0.0,"o2kpj98lvn","MathematicsPhysicsChemistry","MPC"
"","","","","","","o2k1c9h39c","BiologyPhysicsChemistry","BPC"
"","","","","","","o2k2fcv5vi","Commerce","Commerce"
"","","","","","","utfn1rv71i","HumanitiesEconomics","Humanities & Economics"
"","","","","","","utfukt5lir","HumanitiesEntrepreneurship","Humanities & Entrepreneurship"
"","","","","","","utfb7bbadf","HumanitiesPhysicalEducation","Humanities & Physical Education"
"SMS Grade 11 Mandate",0,0.0,0,0.0,0.0,"na3su694to","Mandate","SMS Grade 11 Mandate"
"Winmore Whitefield Grade 10 Language Selection",0,0.0,0,0.0,0.0,"0f78iq90kl","H","Winmore Whitefield Grade 10 Hindi 2nd lang-Kannada 3rd lang"
"","","","","","","0f7topt7dv","K","Winmore Whitefield Grade 10 Kannada 2nd lang-Hindi 3rd lang"
"Winmore Jakkur Grade 10 Language Selection",0,0.0,0,0.0,0.0,"vksdqnmqbp","F","Winmore Jakkur Grade 10 French 2nd lang-Kannada 3rd lang"
"","","","","","","vkss63diaf","K","Winmore Jakkur Grade 10 Kannada 2nd lang-Hindi 3rd lang"
"","","","","","","vksi3o9ar9","H","Winmore Jakkur Grade 10 Hindi 2nd lang-Kannada 3rd lang"
"SAS Keesara Grade 11 Elective Subject Selection",0,0.0,0,0.0,0.0,"u6q1s88ddb","Informatics Practices","SAS Keesara Grade 11 Informatics Practices"
"","","","","","","u6qpcihcit","Computer Science","SAS Keesara Grade 11 Computer Science"
"","","","","","","u6q0jeu9e7","Physical Education","SAS Keesara Grade 11 Physical Education"
"","","","","","","u6qe37efuc","Biology","SAS Keesara Grade 11 Biology"
"","","","","","","u6qt88ai9s","Psychology","SAS Keesara Grade 11 Psychology"
"","","","","","","u6qj3ft4iv","Entrepreneurship","SAS Keesara Grade 11 Entrepreneurship"
"","","","","","","u6q380jd2b","BioTechnology","SAS Keesara Grade 11 BioTechnology"
"","","","","","","u6q1fjd9vr","Applied Mathematics","SAS Keesara Grade 11 Applied Mathematics"
"","","","","","","u6qvnku35c","Economics","SAS Keesara Grade 11 Economics"
"SAS Suchitra Grade 11 Elective Subject Selection",0,0.0,0,0.0,0.0,"44bje6je6t","Science","SAS Suchitra Grade 11 Computer Science"
"","","","","","","44bikbdi7i","Informatics Practices","SAS Suchitra Grade 11 Informatics Practices"
"","","","","","","44bjvhcq12","Applied Mathematics","SAS Suchitra Grade 11 Applied Mathematics"
"","","","","","","44bq4fl1mq","Physical Education","SAS Suchitra Grade 11 Physical Education"
"","","","","","","44b9pcud0b","Psychology","SAS Suchitra Grade 11 Psychology"
"","","","","","","44bd0oivc8","Entrepreneurship","SAS Suchitra Grade 11 Entrepreneurship"
"","","","","","","44b55oi6b7","Economics","SAS Suchitra Grade 11 Economics"
"","","","","","","44bd8miaui","Biology","SAS Suchitra Grade 11 Biology"
"","","","","","","44bvl7e2q4","BioTechnology","SAS Suchitra Grade 11 BioTechnology"
"","","","","","","44b05c3dm7","Data Science","SAS Suchitra Grade 11 Data Science"
"","","","","","","44bdckjv3q","Marketing","SAS Suchitra Grade 11 Marketing"
"","","","","","","44bd1p2brv","FMM","SAS Suchitra Grade 11 FMM"
"SAS Keesara Grade 11 Mandate Subject",0,0.0,0,0.0,0.0,"1hog4eo6a5","Mandate","SAS Keesara Grade 11 Mandate"
"SAS Suchitra Grade 11 Mandate Subject",0,0.0,0,0.0,0.0,"19hk38qe23","Mandate","SAS Suchitra Grade 11 Mandate"
"SAS Grade 11 Core Subject Selection",0,0.0,0,0.0,0.0,"05179el84p","MathematicsPhysicsChemistry","SAS Grade 11 MPC"
"","","","","","","0519hve2fs","BiologyPhysicsChemistry","SAS Grade 11 BPC"
"","","","","","","0517dbi8dc","Commerce","SAS Grade 11 Commerce"
"","","","","","","051egg3eo8","Humanities","SAS Grade 11 Humanities"
"Winmore Whitefield Grade 9 Language Selection",0,0.0,0,0.0,0.0,"el3nfdf391","Hindi","Winmore Whitefield Grade 9 Hindi 2nd Lan"
"","","","","","","el32g15328","Kannada","Winmore Whitefield Grade 9 Kannada 2nd Lan"
"Winmore Jakkur Grade 9 Language Selection",0,0.0,0,0.0,0.0,"e3jpfji9ci","Hindi","Winmore Jakkur Grade 9 Hindi 2nd Lan"
"","","","","","","e3jsajk9st","Kannada","Winmore Jakkur Grade 9 Kannada 2nd Lan"
"","","","","","","e3juu5scrn","French","Winmore Jakkur Grade 9 French 2nd Lan"
"Waist Coat Sizes",0,0.0,0,0.0,0.0,"qusb1th4k1","24$$","24"
"","","","","","","qusm033bkd","26$$","26"
"","","","","","","qus5ko0bf0","28$$","28"
"","","","","","","quskd9hdp8","30$$","30"
"","","","","","","quseess3o6","32$$","32"
"","","","","","","qusng3i1cm","34$$","34"
"","","","","","","qus7e3364e","36$$","36"
"","","","","","","quss8a7imr","38$$","38"
"","","","","","","qus058fjfa","40$$","40"
"","","","","","","qusp39q3mv","42$$","42"
"","","","","","","qusbp13phv","44$$","44"
"","","","","","","qusca8dtu7","46$$","46"
"SMS Grade 9 Language Selection",0,0.0,0,0.0,0.0,"2urerst341","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 9 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","2urj5ump50","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 9 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 8 Language Selection",0,0.0,0,0.0,0.0,"2ecl9si1kl","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 8 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","2eceqnvh3r","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 8 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 7 Language Selection",0,0.0,0,0.0,0.0,"1qfnk2rrq6","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 7 Hindi 2nd Tel 3rd Lan"
"","","","","","","1qfhinkva3","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 7 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 6 Language Selection",0,0.0,0,0.0,0.0,"16d40foi87","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 6 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","16dcp65gr2","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 6 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 5 Language Selection",0,0.0,0,0.0,0.0,"k7npq7tte8","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 5 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","kgutrbmnjg","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 5 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 4 Language Selection",0,0.0,0,0.0,0.0,"js5ani8bfe","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 4 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","js5arj0p9i","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 4 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 3 Language Selection",0,0.0,0,0.0,0.0,"j9sookd81l","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 3 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","j9s7uc1ro6","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 3 Telugu 2nd Lan Hin 3rd Lan"
"SMS Grade 2 Language Selection",0,0.0,0,0.0,0.0,"ini123l40a","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 2 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","inio1lfvac","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 2 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 9 Language Selection",0,0.0,0,0.0,0.0,"10j29jmj91","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 9 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","10jb3d5q7c","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 9 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 8 Language Selection",0,0.0,0,0.0,0.0,"05iff5h5jk","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 8 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","05if1r9ekm","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 8 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 7 Language Selection",0,0.0,0,0.0,0.0,"vhr68c167e","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 7 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","vhr3caqlum","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 7 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 6 Language Selection",0,0.0,0,0.0,0.0,"urcuveumrm","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 6 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","urcdsdd53g","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 6 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 5 Language Selection",0,0.0,0,0.0,0.0,"u66lu3ogcj","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 5 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","u668f7kg80","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 5 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 4 Language Selection",0,0.0,0,0.0,0.0,"tfufiq91ni","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 4 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","tfum8o0mvk","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 4 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 3 Language Selection",0,0.0,0,0.0,0.0,"ssckr0j364","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 3 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","ssc0hinm6p","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 3 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 2 Language Selection",0,0.0,0,0.0,0.0,"s2qvtjrcts","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 2 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","s2qlv2k934","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 2 Telugu 2nd Lan Hin 3rd Lan"
"SAS Suchitra Grade 9 Language Selection",0,0.0,0,0.0,0.0,"r3umup8tgd","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 9 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","r3uc6ok1nt","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 9 Telugu 2nd Lan Hin 3rd Lan"
"","","","","","","r3ud8vi4ot","French 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 9 French 2nd Lan Tel 3rd Lan"
"SAS Suchitra Grade 8 Language Selection",0,0.0,0,0.0,0.0,"q0m06re01e","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 8 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","q0mmpibq6s","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 8 Telugu 2nd Lan Hin 3rd Lan"
"","","","","","","q0mumfmtbs","French 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 8 French 2nd Lan Tel 3rd Lan"
"SAS Suchitra Grade 7 Language Selection",0,0.0,0,0.0,0.0,"olltdhune7","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 7 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","ollc56unjm","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 7 Telugu 2nd Lan Hin 3rd Lan"
"","","","","","","ollbdav3cs","French 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 7 French 2nd Lan Tel 3rd Lan"
"SAS Suchitra Grade 6 Language Selection",0,0.0,0,0.0,0.0,"nkgi338fct","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 6 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","nkgbn5csp9","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 6 Telugu 2nd Lan Hin 3rd Lan"
"","","","","","","or2hghvm5o","French 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 6 French 2nd Lan Tel 3rd Lan"
"SAS Suchitra Grade 5 Language Selection",0,0.0,0,0.0,0.0,"mjioevibvh","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 5 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","mjil8pet2c","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 5 Telugu 2nd Lan Hin 3rd Lan"
"","","","","","","p1pdgf7dc9","French 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 5 French 2nd Lan Tel 3rd Lan"
"SAS Suchitra Grade 4 Language Selection",0,0.0,0,0.0,0.0,"lhnkhffq44","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 4 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","lhnblr3ju9","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 4 Telugu 2nd Lan Hin 3rd Lan"
"SAS Suchitra Grade 3 Language Selection",0,0.0,0,0.0,0.0,"jo1quskr0h","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 3 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","jo15hh2jul","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 3 Telugu 2nd Lan Hin 3rd Lan"
"SAS Suchitra Grade 2 Language Selection",0,0.0,0,0.0,0.0,"hmp9qbuj90","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 2 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","hmpvm3k1up","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 2 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade 1 Language Selection",0,0.0,0,0.0,0.0,"8okg0c0hdu","Hindi 2nd Lan Tel 3rd Lan","SAS Keesara Grade 1 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","8okju6ie3k","Telugu 2nd Lan Hin 3rd Lan","SAS Keesara Grade 1 Telugu 2nd Lan Hin 3rd Lan"
"SAS Suchitra Grade 1 Language Selection",0,0.0,0,0.0,0.0,"88feke9q06","Hindi 2nd Lan Tel 3rd Lan","SAS Suchitra Grade 1 Hindi 2nd Lan Tel 3rd Lan"
"","","","","","","88fkv5n5si","Telugu 2nd Lan Hin 3rd Lan","SAS Suchitra Grade 1 Telugu 2nd Lan Hin 3rd Lan"
"SAS Keesara Grade UKG Language Selection",0,0.0,0,0.0,0.0,"7lqv7hnr47","Hindi","SAS Keesara Grade UKG Hindi 2nd Lan"
"","","","","","","7lq2net2b2","Telugu","SAS Keesara Grade UKG Telugu 2nd Lan"
"SAS Suchitra Grade UKG Language Selection",0,0.0,0,0.0,0.0,"77ghi64j1r","Hindi","SAS Suchitra Grade UKG Hindi 2nd Lan"
"","","","","","","77gatae5o1","Telugu","SAS Suchitra Grade UKG Telugu 2nd Lan"
"SMS Grade 1 Language Selection",0,0.0,0,0.0,0.0,"p07ummcg16","Hindi 2nd Lan Tel 3rd Lan","SMS Grade 1 Hindi 2nd Lan Telugu 3rd Lan"
"","","","","","","p072ghmjfp","Telugu 2nd Lan Hin 3rd Lan","SMS Grade 1 Telugu 2nd Lan"
"SMS Grade UKG Language Selection",0,0.0,0,0.0,0.0,"o9vca4vurr","Hindi","SMS Grade UKG Hindi 2nd Lan"
"","","","","","","o9vsh2s08q","Telugu","SMS Grade UKG Telugu 2nd Lan"
"CAS NIBM CBSE Grade 9 Stream Selection",0,0.0,0,0.0,0.0,"ojb4o0jsrv","AI","AI Stream"
"","","","","","","ojbpvgsbfp","Painting","Painting Stream"
"","","","","","","ojbnsg3mvq","FM","FM Stream"
"CAS LR CBSE Grade 9 Stream Selection",0,0.0,0,0.0,0.0,"o7u9v8gu8u","AI","AI Strem"
"","","","","","","o7uhgsac9r","Painting","Painting Stream"
"","","","","","","o7u3acvr7s","FM","FM Stream"
"CAS NIBM CIE Grade 8 Language Selection",0,0.0,0,0.0,0.0,"srshmftjmo","Hindi","CAS NIBM CIE Grade 8 Hindi 2nd Lan"
"","","","","","","srsa24jpre","French","CAS NIBM CIE Grade 8 French 2nd Lan"
"CAS NIBM CIE Grade 7 Language Selection",0,0.0,0,0.0,0.0,"sb2ue38sp0","Hindi","CAS NIBM CIE Grade 7 Hindi 2nd Lan"
"","","","","","","sb28l295m6","French","CAS NIBM CIE Grade 7 French 2nd Lan"
"CAS NIBM CIE Grade 6 Language Selection",0,0.0,0,0.0,0.0,"ru2nuakq8d","Hindi","CAS NIBM CIE Grade 6 Hindi 2nd Lan"
"","","","","","","ru234u4qaf","French","CAS NIBM CIE Grade 6 French 2nd Lan"
"CAS NIBM CIE Grade 5 Language Selection",0,0.0,0,0.0,0.0,"rd20hck9f8","Hindi","CAS NIBM CIE Grade 5 Hindi 2nd Lan"
"","","","","","","h378ufnait","French","CAS NIBM CIE Grade 5 French 2nd Lan"
"CAS LR CIE Grade 8 Language Selection",0,0.0,0,0.0,0.0,"qsb3h4ld2q","Hindi","CAS LR CIE Grade 8 Hindi 2nd Lan"
"","","","","","","qsbc6s0hca","French","CAS LR CIE Grade 8 French 2nd Lan"
"CAS LR CIE Grade 7 Language Selection",0,0.0,0,0.0,0.0,"qb8ie4249f","Hindi","CAS LR CIE Grade 7 Hindi 2nd Lan"
